FINISHED_PRODUCTDESC,COMPONENT_PRODUCTCODE,FINISHED_PRODUCTCODE,COMPONENT_PRODUCTDESC,BLEND_PERCENT
7704,1211,LOW TEMP CONCRETE FORM OIL    ,PVS TOFA MEDIUM ROSIN         ,0.00848
7704,4111,LOW TEMP CONCRETE FORM OIL    ,KENSOL 30                     ,0.10505
7704,4305,LOW TEMP CONCRETE FORM OIL    ,KENDEX 0150                   ,0.19074
7704,4329,LOW TEMP CONCRETE FORM OIL    ,KENDEX 0060HT                 ,0.69385
7705,1149,ARGUARD 65 SUS CFO            ,PD-610                        ,0.00189
7705,1193,ARGUARD 65 SUS CFO            ,LARD OIL                      ,0.05016
7705,4305,ARGUARD 65 SUS CFO            ,KENDEX 0150                   ,0.07425
7705,4329,ARGUARD 65 SUS CFO            ,KENDEX 0060HT                 ,0.8737
7706,1149,ARGUARD 95 SUS CFO            ,PD-610                        ,0.00192
7706,1193,ARGUARD 95 SUS CFO            ,LARD OIL                      ,0.07594
7706,4305,ARGUARD 95 SUS CFO            ,KENDEX 0150                   ,0.62589
7706,4329,ARGUARD 95 SUS CFO            ,KENDEX 0060HT                 ,0.29625
7707,1149,ROCK DRILL ISO VG 150         ,PD-610                        ,0.00197
7707,1359,ROCK DRILL ISO VG 150         ,LUBRIZOL 936                  ,0.00937
7707,4305,ROCK DRILL ISO VG 150         ,KENDEX 0150                   ,0.38387
7707,4318,ROCK DRILL ISO VG 150         ,ARGOLD LEGACY                 ,0.55728
7707,4401,ROCK DRILL ISO VG 150         ,ARG ANTI-FOAM                 ,0.0001
7707,5885,ROCK DRILL ISO VG 150         ,V-178                         ,0.01544
7707,6693,ROCK DRILL ISO VG 150         ,ANG 6043                      ,0.03197
7708,1189,SLIDE & WAY LUBE 150          ,WA 24                         ,0.0235
7708,1914,SLIDE & WAY LUBE 150          ,HF BRIGHT STOCK               ,0.044
7708,1920,SLIDE & WAY LUBE 150          ,VALERO 700 NEUTRAL            ,0.928
7708,5885,SLIDE & WAY LUBE 150          ,V-178                         ,0.0045
7709,1149,PERFORATING OIL               ,PD-610                        ,0.00095
7709,1199,PERFORATING OIL               ,LZ 5346                       ,0.08878
7709,1253,PERFORATING OIL               ,PAROIL 142-LV                 ,0.00946
7709,4305,PERFORATING OIL               ,KENDEX 0150                   ,0.63054
7709,4329,PERFORATING OIL               ,KENDEX 0060HT                 ,0.27027
7710,1149,ARGUARD BAR & CHAIN OIL       ,PD-610                        ,0.003
7710,1236,ARGUARD BAR & CHAIN OIL       ,ELCO 103                      ,0.0025
7710,4305,ARGUARD BAR & CHAIN OIL       ,KENDEX 0150                   ,0.4695
7710,4318,ARGUARD BAR & CHAIN OIL       ,ARGOLD LEGACY                 ,0.515
7710,5885,ARGUARD BAR & CHAIN OIL       ,V-178                         ,0.01
7711,1193,LOW VIS FORM OIL              ,LARD OIL                      ,0.05007
7711,4111,LOW VIS FORM OIL              ,KENSOL 30                     ,0.08377
7711,4329,LOW VIS FORM OIL              ,KENDEX 0060HT                 ,0.86616
7716,4114,FORM OIL 45                   ,KENSOL 48T                    ,0.95
7720,1131,SAE 90 STRAIGHT MIN OIL       ,LZ 7719                       ,0.0005
7720,4305,SAE 90 STRAIGHT MIN OIL       ,KENDEX 0150                   ,0.2
7720,4318,SAE 90 STRAIGHT MIN OIL       ,ARGOLD LEGACY                 ,0.7993
7720,4401,SAE 90 STRAIGHT MIN OIL       ,ARG ANTI-FOAM                 ,0.0002
7721,4315,HIGH PERF GR OIL 80W140 (GL-5),KENDEX 0150H                  ,0.4939
7721,4327,HIGH PERF GR OIL 80W140 (GL-5),KENDEX 0060H                  ,0.095
7721,4401,HIGH PERF GR OIL 80W140 (GL-5),ARG ANTI-FOAM                 ,0.0001
7721,5540,HIGH PERF GR OIL 80W140 (GL-5),LZ 7742                       ,0.008
7721,5930,HIGH PERF GR OIL 80W140 (GL-5),LZ 3179A                      ,0.339
7721,6693,HIGH PERF GR OIL 80W140 (GL-5),ANG 6043                      ,0.064
7723,4554,50WT BAR & CHAIN              ,KENDEX 0834                   ,0.235
7723,5885,50WT BAR & CHAIN              ,V-178                         ,0.01
7724,4408,ROCK DRILL OIL ISO VG 1000    ,RCK DRLL OIL ISO VG 1000 PREMX,0.79107
7724,4554,ROCK DRILL OIL ISO VG 1000    ,KENDEX 0834                   ,0.20893
7726,4305,VP PREM BAR & CHAIN OIL       ,KENDEX 0150                   ,0.14548
7726,4318,VP PREM BAR & CHAIN OIL       ,ARGOLD LEGACY                 ,0.09192
7726,5885,VP PREM BAR & CHAIN OIL       ,V-178                         ,0.01009
7727,1009,DRIVEN SYN LMT SLIP 75W-90 GO ,VHVI 4                        ,0.46507
7727,1249,DRIVEN SYN LMT SLIP 75W-90 GO ,FOAM BAN 149                  ,0.0008
7727,1310,DRIVEN SYN LMT SLIP 75W-90 GO ,SYNFLUID MPAO 100             ,0.45192
7727,1332,DRIVEN SYN LMT SLIP 75W-90 GO ,HITEC 397                     ,0.01874
7727,1354,DRIVEN SYN LMT SLIP 75W-90 GO ,FUNCTIONAL PD-620             ,0.00189
7727,6693,DRIVEN SYN LMT SLIP 75W-90 GO ,ANG 6043                      ,0.06158
7729,1149,GEAR OIL 80W90 (GL-4)         ,PD-610                        ,0.0075
7729,2122,GEAR OIL 80W90 (GL-4)         ,PPM BLUE                      ,0.00025
7729,4305,GEAR OIL 80W90 (GL-4)         ,KENDEX 0150                   ,0.3855
7729,4318,GEAR OIL 80W90 (GL-4)         ,ARGOLD LEGACY                 ,0.57465
7729,4401,GEAR OIL 80W90 (GL-4)         ,ARG ANTI-FOAM                 ,0.0001
7729,6693,GEAR OIL 80W90 (GL-4)         ,ANG 6043                      ,0.032
7730,1292,ARGUARD GL5 GEAR OIL 80W90    ,OLOA 30005                    ,0.02864
7730,4315,ARGUARD GL5 GEAR OIL 80W90    ,KENDEX 0150H                  ,0.38162
7730,4318,ARGUARD GL5 GEAR OIL 80W90    ,ARGOLD LEGACY                 ,0.57989
7730,4401,ARGUARD GL5 GEAR OIL 80W90    ,ARG ANTI-FOAM                 ,0.00011
7730,5530,ARGUARD GL5 GEAR OIL 80W90    ,LUBRIZOL 7749B-CHEMGUARD 637  ,0.00974
7731,4315,ARGUARD GL5 GEAR OIL LS 80W90 ,KENDEX 0150H                  ,0.3225
7731,4318,ARGUARD GL5 GEAR OIL LS 80W90 ,ARGOLD LEGACY                 ,0.5739
7731,4401,ARGUARD GL5 GEAR OIL LS 80W90 ,ARG ANTI-FOAM                 ,0.0001
7731,5535,ARGUARD GL5 GEAR OIL LS 80W90 ,VISOPLEX 1-303                ,0.0175
7731,5674,ARGUARD GL5 GEAR OIL LS 80W90 ,STURACO 7097K                 ,0.022
7731,6693,ARGUARD GL5 GEAR OIL LS 80W90 ,ANG 6043                      ,0.064
7732,2122,LTD SLIP GL-5 SAE 80W90 GEAR  ,PPM BLUE                      ,0.00025
7732,4315,LTD SLIP GL-5 SAE 80W90 GEAR  ,KENDEX 0150H                  ,0.3224
7732,4318,LTD SLIP GL-5 SAE 80W90 GEAR  ,ARGOLD LEGACY                 ,0.57375
7732,4401,LTD SLIP GL-5 SAE 80W90 GEAR  ,ARG ANTI-FOAM                 ,0.0001
7732,5535,LTD SLIP GL-5 SAE 80W90 GEAR  ,VISOPLEX 1-303                ,0.0175
7732,5674,LTD SLIP GL-5 SAE 80W90 GEAR  ,STURACO 7097K                 ,0.022
7732,6693,LTD SLIP GL-5 SAE 80W90 GEAR  ,ANG 6043                      ,0.064
7734,1131,GEAR OIL 85W140 (GL-4)        ,LZ 7719                       ,0.001
7734,4305,GEAR OIL 85W140 (GL-4)        ,KENDEX 0150                   ,0.067
7734,4318,GEAR OIL 85W140 (GL-4)        ,ARGOLD LEGACY                 ,0.9
7734,4401,GEAR OIL 85W140 (GL-4)        ,ARG ANTI-FOAM                 ,0.0001
7734,6693,GEAR OIL 85W140 (GL-4)        ,ANG 6043                      ,0.0319
7735,1292,ARGUARD GL5 GEAR OIL 85W140   ,OLOA 30005                    ,0.0288
7735,4315,ARGUARD GL5 GEAR OIL 85W140   ,KENDEX 0150H                  ,0.07993
7735,4318,ARGUARD GL5 GEAR OIL 85W140   ,ARGOLD LEGACY                 ,0.88821
7735,4401,ARGUARD GL5 GEAR OIL 85W140   ,ARG ANTI-FOAM                 ,0.00011
7735,5530,ARGUARD GL5 GEAR OIL 85W140   ,LUBRIZOL 7749B-CHEMGUARD 637  ,0.00295
7736,1187,VISCOSITY TRANSAXLE FLD 80W140,ARAMCOPRIMA 600               ,0.72644
7736,1249,VISCOSITY TRANSAXLE FLD 80W140,FOAM BAN 149                  ,0.0011
7736,1297,VISCOSITY TRANSAXLE FLD 80W140,OLOA 9725XV                   ,0.06134
7736,1298,VISCOSITY TRANSAXLE FLD 80W140,OLOA 2508H                    ,0.00397
7736,1327,VISCOSITY TRANSAXLE FLD 80W140,VISCOPLEX 8-219               ,0.20311
7736,8558,VISCOSITY TRANSAXLE FLD 80W140,INFINEUM V385 (R01780A)       ,0.00391
7737,1236,WINTER WEIGHT BAR & CHAIN LUBE,ELCO 103                      ,0.00304
7737,4305,WINTER WEIGHT BAR & CHAIN LUBE,KENDEX 0150                   ,0.76808
7737,4318,WINTER WEIGHT BAR & CHAIN LUBE,ARGOLD LEGACY                 ,0.21871
7737,5885,WINTER WEIGHT BAR & CHAIN LUBE,V-178                         ,0.01017
7738,1009,DRIVEN SYN 75W85 RCNG GEAR OIL,VHVI 4                        ,0.33976
7738,1310,DRIVEN SYN 75W85 RCNG GEAR OIL,SYNFLUID MPAO 100             ,0.31641
7738,1312,DRIVEN SYN 75W85 RCNG GEAR OIL,MOLYVAN 3000                  ,0.00837
7738,1315,DRIVEN SYN 75W85 RCNG GEAR OIL,LUBRICIT 9514-2               ,0.14326
7738,1332,DRIVEN SYN 75W85 RCNG GEAR OIL,HITEC 397                     ,0.01921
7738,1351,DRIVEN SYN 75W85 RCNG GEAR OIL,AFTON HITEC 511T              ,0.00299
7738,1352,DRIVEN SYN 75W85 RCNG GEAR OIL,VANDERBILT TPS 44             ,0.00559
7738,1353,DRIVEN SYN 75W85 RCNG GEAR OIL,AFTON HITEC 33360             ,0.16441
7739,1009,DRIVEN SYN 75W110 RCG GEAR OIL,VHVI 4                        ,0.17702
7739,1310,DRIVEN SYN 75W110 RCG GEAR OIL,SYNFLUID MPAO 100             ,0.47868
7739,1312,DRIVEN SYN 75W110 RCG GEAR OIL,MOLYVAN 3000                  ,0.00838
7739,1315,DRIVEN SYN 75W110 RCG GEAR OIL,LUBRICIT 9514-2               ,0.14346
7739,1332,DRIVEN SYN 75W110 RCG GEAR OIL,HITEC 397                     ,0.01923
7739,1351,DRIVEN SYN 75W110 RCG GEAR OIL,AFTON HITEC 511T              ,0.003
7739,1352,DRIVEN SYN 75W110 RCG GEAR OIL,VANDERBILT TPS 44             ,0.0056
7739,1353,DRIVEN SYN 75W110 RCG GEAR OIL,AFTON HITEC 33360             ,0.16463
7747,1161,WIRELINE ISO VG 680           ,WP 7075F                      ,0.42045
7747,1342,WIRELINE ISO VG 680           ,IPAC 7351                     ,0.02347
7747,4305,WIRELINE ISO VG 680           ,KENDEX 0150                   ,0.55103
7747,5885,WIRELINE ISO VG 680           ,V-178                         ,0.00505
7748,1161,WIRELINE ISO VG 1500          ,WP 7075F                      ,0.55064
7748,1342,WIRELINE ISO VG 1500          ,IPAC 7351                     ,0.02348
7748,4305,WIRELINE ISO VG 1500          ,KENDEX 0150                   ,0.42083
7748,5885,WIRELINE ISO VG 1500          ,V-178                         ,0.00505
7749,1161,WIRELINE ISO VG 2500          ,WP 7075F                      ,0.63078
7749,1342,WIRELINE ISO VG 2500          ,IPAC 7351                     ,0.02348
7749,4305,WIRELINE ISO VG 2500          ,KENDEX 0150                   ,0.34069
7749,5885,WIRELINE ISO VG 2500          ,V-178                         ,0.00505
7751,1149,GP-1 CONV 85W-140 HP GEAR OIL ,PD-610                        ,0.00501
7751,1332,GP-1 CONV 85W-140 HP GEAR OIL ,HITEC 397                     ,0.01982
7751,4318,GP-1 CONV 85W-140 HP GEAR OIL ,ARGOLD LEGACY                 ,0.9099
7751,4401,GP-1 CONV 85W-140 HP GEAR OIL ,ARG ANTI-FOAM                 ,0.00011
7751,6693,GP-1 CONV 85W-140 HP GEAR OIL ,ANG 6043                      ,0.06516
7752,4318,FORGING LUBRICANT             ,ARGOLD LEGACY                 ,0.998
7752,5885,FORGING LUBRICANT             ,V-178                         ,0.002
7753,1149,GP-1 CONV 80W-90 HP GEAR OIL  ,PD-610                        ,0.00495
7753,1332,GP-1 CONV 80W-90 HP GEAR OIL  ,HITEC 397                     ,0.01959
7753,4305,GP-1 CONV 80W-90 HP GEAR OIL  ,KENDEX 0150                   ,0.33117
7753,4318,GP-1 CONV 80W-90 HP GEAR OIL  ,ARGOLD LEGACY                 ,0.57979
7753,4401,GP-1 CONV 80W-90 HP GEAR OIL  ,ARG ANTI-FOAM                 ,0.00011
7753,6693,GP-1 CONV 80W-90 HP GEAR OIL  ,ANG 6043                      ,0.06439
7754,1009,DRIVEN SYN 75W-90 RCNG GEAROIL,VHVI 4                        ,0.27975
7754,1310,DRIVEN SYN 75W-90 RCNG GEAROIL,SYNFLUID MPAO 100             ,0.37625
7754,1312,DRIVEN SYN 75W-90 RCNG GEAROIL,MOLYVAN 3000                  ,0.00837
7754,1315,DRIVEN SYN 75W-90 RCNG GEAROIL,LUBRICIT 9514-2               ,0.14333
7754,1332,DRIVEN SYN 75W-90 RCNG GEAROIL,HITEC 397                     ,0.01922
7754,1351,DRIVEN SYN 75W-90 RCNG GEAROIL,AFTON HITEC 511T              ,0.003
7754,1352,DRIVEN SYN 75W-90 RCNG GEAROIL,VANDERBILT TPS 44             ,0.00559
7754,1353,DRIVEN SYN 75W-90 RCNG GEAROIL,AFTON HITEC 33360             ,0.16449
7755,1009,DRIVEN SYN 75W-140 RACING GO  ,VHVI 4                        ,0.09412
7755,1310,DRIVEN SYN 75W-140 RACING GO  ,SYNFLUID MPAO 100             ,0.56133
7755,1312,DRIVEN SYN 75W-140 RACING GO  ,MOLYVAN 3000                  ,0.00839
7755,1315,DRIVEN SYN 75W-140 RACING GO  ,LUBRICIT 9514-2               ,0.14356
7755,1332,DRIVEN SYN 75W-140 RACING GO  ,HITEC 397                     ,0.01925
7755,1351,DRIVEN SYN 75W-140 RACING GO  ,AFTON HITEC 511T              ,0.003
7755,1352,DRIVEN SYN 75W-140 RACING GO  ,VANDERBILT TPS 44             ,0.0056
7755,1353,DRIVEN SYN 75W-140 RACING GO  ,AFTON HITEC 33360             ,0.16475
7756,1000,ROLLING OIL 75                ,KETJENLUBE 135                ,0.0089
7756,1203,ROLLING OIL 75                ,LZ 5150C                      ,0.00223
7756,1240,ROLLING OIL 75                ,ADDITIN RC3740 396D           ,0.00617
7756,4305,ROLLING OIL 75                ,KENDEX 0150                   ,0.24468
7756,4329,ROLLING OIL 75                ,KENDEX 0060HT                 ,0.73802
7767,7767,ARGUARD FS GL5 GEAR OIL 75W90 ,ARGUARD FS GL5 GEAR OIL 75W90 ,1
7768,1149,ROCK DRILL OIL ISO VG 320     ,PD-610                        ,0.00199
7768,1359,ROCK DRILL OIL ISO VG 320     ,LUBRIZOL 936                  ,0.00945
7768,4305,ROCK DRILL OIL ISO VG 320     ,KENDEX 0150                   ,0.13063
7768,4318,ROCK DRILL OIL ISO VG 320     ,ARGOLD LEGACY                 ,0.81002
7768,4401,ROCK DRILL OIL ISO VG 320     ,ARG ANTI-FOAM                 ,0.0001
7768,5885,ROCK DRILL OIL ISO VG 320     ,V-178                         ,0.01557
7768,6693,ROCK DRILL OIL ISO VG 320     ,ANG 6043                      ,0.03224
7769,1149,ROCK DRILL OIL ISO VG 460     ,PD-610                        ,0.001
7769,1359,ROCK DRILL OIL ISO VG 460     ,LUBRIZOL 936                  ,0.00949
7769,4318,ROCK DRILL OIL ISO VG 460     ,ARGOLD LEGACY                 ,0.9414
7769,4401,ROCK DRILL OIL ISO VG 460     ,ARG ANTI-FOAM                 ,0.0001
7769,5885,ROCK DRILL OIL ISO VG 460     ,V-178                         ,0.01563
7769,6693,ROCK DRILL OIL ISO VG 460     ,ANG 6043                      ,0.03238
7773,1149,ARG LD 2 EP IND GR LB ISO VG68,PD-610                        ,0.00097
7773,1331,ARG LD 2 EP IND GR LB ISO VG68,HITEC 3339                    ,0.01052
7773,4305,ARG LD 2 EP IND GR LB ISO VG68,KENDEX 0150                   ,0.6511
7773,4318,ARG LD 2 EP IND GR LB ISO VG68,ARGOLD LEGACY                 ,0.33731
7773,4401,ARG LD 2 EP IND GR LB ISO VG68,ARG ANTI-FOAM                 ,0.0001
7774,1149,ARG LD3 EP IND GR LB ISO VG100,PD-610                        ,0.00098
7774,1331,ARG LD3 EP IND GR LB ISO VG100,HITEC 3339                    ,0.01057
7774,4305,ARG LD3 EP IND GR LB ISO VG100,KENDEX 0150                   ,0.51171
7774,4318,ARG LD3 EP IND GR LB ISO VG100,ARGOLD LEGACY                 ,0.47664
7774,4401,ARG LD3 EP IND GR LB ISO VG100,ARG ANTI-FOAM                 ,0.0001
7775,1149,ARG LD4 EP IND GR LB ISO VG150,PD-610                        ,0.00099
7775,1331,ARG LD4 EP IND GR LB ISO VG150,HITEC 3339                    ,0.01019
7775,4305,ARG LD4 EP IND GR LB ISO VG150,KENDEX 0150                   ,0.36903
7775,4318,ARG LD4 EP IND GR LB ISO VG150,ARGOLD LEGACY                 ,0.61969
7775,4401,ARG LD4 EP IND GR LB ISO VG150,ARG ANTI-FOAM                 ,0.0001
7776,1149,ARG LD5 EP IND GR LB ISO VG220,PD-610                        ,0.00099
7776,1331,ARG LD5 EP IND GR LB ISO VG220,HITEC 3339                    ,0.01024
7776,4305,ARG LD5 EP IND GR LB ISO VG220,KENDEX 0150                   ,0.23271
7776,4318,ARG LD5 EP IND GR LB ISO VG220,ARGOLD LEGACY                 ,0.75596
7776,4401,ARG LD5 EP IND GR LB ISO VG220,ARG ANTI-FOAM                 ,0.0001
7777,1149,ARG LD6 EP IND GR LB ISO VG320,PD-610                        ,0.001
7777,1331,ARG LD6 EP IND GR LB ISO VG320,HITEC 3339                    ,0.01028
7777,4305,ARG LD6 EP IND GR LB ISO VG320,KENDEX 0150                   ,0.11998
7777,4318,ARG LD6 EP IND GR LB ISO VG320,ARGOLD LEGACY                 ,0.86864
7777,4401,ARG LD6 EP IND GR LB ISO VG320,ARG ANTI-FOAM                 ,0.0001
7778,1149,ARG LD7 EP IND GR LB ISO VG460,PD-610                        ,0.001
7778,1331,ARG LD7 EP IND GR LB ISO VG460,HITEC 3339                    ,0.01033
7778,4318,ARG LD7 EP IND GR LB ISO VG460,ARGOLD LEGACY                 ,0.98857
7778,4401,ARG LD7 EP IND GR LB ISO VG460,ARG ANTI-FOAM                 ,0.0001
7781,1131,WAY OIL 460                   ,LZ 7719                       ,0.001
7781,1138,WAY OIL 460                   ,ELCO 313A                     ,0.0165
7781,4305,WAY OIL 460                   ,KENDEX 0150                   ,0.461
7781,4318,WAY OIL 460                   ,ARGOLD LEGACY                 ,0.1125
7781,4554,WAY OIL 460                   ,KENDEX 0834                   ,0.389
7781,5890,WAY OIL 460                   ,FUNCTIONAL V-176 TACKIFIER    ,0.02
7782,1892,AGMA 8A STEAM CYLINDER OIL    ,ACIDLESS TALLOW               ,0.05
7782,4318,AGMA 8A STEAM CYLINDER OIL    ,ARGOLD LEGACY                 ,0.45
7782,4401,AGMA 8A STEAM CYLINDER OIL    ,ARG ANTI-FOAM                 ,0.0001
7782,4618,AGMA 8A STEAM CYLINDER OIL    ,KENDEX 0898                   ,0.4999
7783,1131,WAY OIL 100                   ,LZ 7719                       ,0.0005
7783,1199,WAY OIL 100                   ,LZ 5346                       ,0.046
7783,4305,WAY OIL 100                   ,KENDEX 0150                   ,0.524
7783,4318,WAY OIL 100                   ,ARGOLD LEGACY                 ,0.422
7783,4401,WAY OIL 100                   ,ARG ANTI-FOAM                 ,0.0001
7783,5890,WAY OIL 100                   ,FUNCTIONAL V-176 TACKIFIER    ,0.0074
7785,1892,COMPOUNDED OIL AGMA 7 460     ,ACIDLESS TALLOW               ,0.05
7785,4318,COMPOUNDED OIL AGMA 7 460     ,ARGOLD LEGACY                 ,0.8999
7785,4401,COMPOUNDED OIL AGMA 7 460     ,ARG ANTI-FOAM                 ,0.0001
7785,4554,COMPOUNDED OIL AGMA 7 460     ,KENDEX 0834                   ,0.05
7787,1149,MD 2 EP IND GEAR LUBE 68      ,PD-610                        ,0.00098
7787,1256,MD 2 EP IND GEAR LUBE 68      ,HITEC 350                     ,0.01262
7787,4305,MD 2 EP IND GEAR LUBE 68      ,KENDEX 0150                   ,0.64966
7787,4318,MD 2 EP IND GEAR LUBE 68      ,ARGOLD LEGACY                 ,0.33664
7787,4401,MD 2 EP IND GEAR LUBE 68      ,ARG ANTI-FOAM                 ,0.0001
7788,1149,MD 3 EP IND GEAR LUBE 100     ,PD-610                        ,0.00098
7788,1256,MD 3 EP IND GEAR LUBE 100     ,HITEC 350                     ,0.01268
7788,4305,MD 3 EP IND GEAR LUBE 100     ,KENDEX 0150                   ,0.51014
7788,4318,MD 3 EP IND GEAR LUBE 100     ,ARGOLD LEGACY                 ,0.4761
7788,4401,MD 3 EP IND GEAR LUBE 100     ,ARG ANTI-FOAM                 ,0.0001
7789,1149,MD 4 EP IND GEAR LUBE 150     ,PD-610                        ,0.00099
7789,1256,MD 4 EP IND GEAR LUBE 150     ,HITEC 350                     ,0.01275
7789,4305,MD 4 EP IND GEAR LUBE 150     ,KENDEX 0150                   ,0.36705
7789,4318,MD 4 EP IND GEAR LUBE 150     ,ARGOLD LEGACY                 ,0.61911
7789,4401,MD 4 EP IND GEAR LUBE 150     ,ARG ANTI-FOAM                 ,0.0001
7790,1149,MD 5 EP IND GEAR LUBE 220     ,PD-610                        ,0.00099
7790,1256,MD 5 EP IND GEAR LUBE 220     ,HITEC 350                     ,0.01281
7790,4305,MD 5 EP IND GEAR LUBE 220     ,KENDEX 0150                   ,0.23076
7790,4318,MD 5 EP IND GEAR LUBE 220     ,ARGOLD LEGACY                 ,0.75534
7790,4401,MD 5 EP IND GEAR LUBE 220     ,ARG ANTI-FOAM                 ,0.0001
7791,1149,MD 6 EP IND GEAR LUBE 320     ,PD-610                        ,0.001
7791,1256,MD 6 EP IND GEAR LUBE 320     ,HITEC 350                     ,0.01286
7791,4305,MD 6 EP IND GEAR LUBE 320     ,KENDEX 0150                   ,0.11787
7791,4318,MD 6 EP IND GEAR LUBE 320     ,ARGOLD LEGACY                 ,0.86817
7791,4401,MD 6 EP IND GEAR LUBE 320     ,ARG ANTI-FOAM                 ,0.0001
7792,1149,MD 7 EP IND GEAR LUBE 460     ,PD-610                        ,0.001
7792,1256,MD 7 EP IND GEAR LUBE 460     ,HITEC 350                     ,0.01292
7792,4318,MD 7 EP IND GEAR LUBE 460     ,ARGOLD LEGACY                 ,0.98598
7792,4401,MD 7 EP IND GEAR LUBE 460     ,ARG ANTI-FOAM                 ,0.0001
7793,1256,MD 8 EP IND GEAR LUBE ISO 680 ,HITEC 350                     ,0.013
7793,1358,MD 8 EP IND GEAR LUBE ISO 680 ,AFTON HITEC 5158              ,0.00009
7793,4318,MD 8 EP IND GEAR LUBE ISO 680 ,ARGOLD LEGACY                 ,0.87635
7793,4401,MD 8 EP IND GEAR LUBE ISO 680 ,ARG ANTI-FOAM                 ,0.00022
7793,4554,MD 8 EP IND GEAR LUBE ISO 680 ,KENDEX 0834                   ,0.11034
7794,1149,WAY OIL 32                    ,PD-610                        ,0.00193
7794,1189,WAY OIL 32                    ,WA 24                         ,0.02357
7794,4305,WAY OIL 32                    ,KENDEX 0150                   ,0.95658
7794,4329,WAY OIL 32                    ,KENDEX 0060HT                 ,0.01125
7794,4401,WAY OIL 32                    ,ARG ANTI-FOAM                 ,0.0001
7794,5885,WAY OIL 32                    ,V-178                         ,0.00657
7795,1149,ARGUARD WAYLUBE ISO 68        ,PD-610                        ,0.00049
7795,1357,ARGUARD WAYLUBE ISO 68        ,FUNCTIONAL WA-64              ,0.01598
7795,4305,ARGUARD WAYLUBE ISO 68        ,KENDEX 0150                   ,0.67008
7795,4318,ARGUARD WAYLUBE ISO 68        ,ARGOLD LEGACY                 ,0.30824
7795,4401,ARGUARD WAYLUBE ISO 68        ,ARG ANTI-FOAM                 ,0.00011
7795,5885,ARGUARD WAYLUBE ISO 68        ,V-178                         ,0.0051
7796,1149,ARGUARD WAYLUBE ISO 220       ,PD-610                        ,0.00049
7796,1357,ARGUARD WAYLUBE ISO 220       ,FUNCTIONAL WA-64              ,0.01622
7796,4305,ARGUARD WAYLUBE ISO 220       ,KENDEX 0150                   ,0.24733
7796,4318,ARGUARD WAYLUBE ISO 220       ,ARGOLD LEGACY                 ,0.73068
7796,4401,ARGUARD WAYLUBE ISO 220       ,ARG ANTI-FOAM                 ,0.00011
7796,5885,ARGUARD WAYLUBE ISO 220       ,V-178                         ,0.00517
7797,1149,ARGUARD ROCK DRILL ISO 100    ,PD-610                        ,0.00098
7797,1256,ARGUARD ROCK DRILL ISO 100    ,HITEC 350                     ,0.01269
7797,1257,ARGUARD ROCK DRILL ISO 100    ,HITEC 646                     ,0.00237
7797,1358,ARGUARD ROCK DRILL ISO 100    ,AFTON HITEC 5158              ,0.00009
7797,4305,ARGUARD ROCK DRILL ISO 100    ,KENDEX 0150                   ,0.5521
7797,4318,ARGUARD ROCK DRILL ISO 100    ,ARGOLD LEGACY                 ,0.41683
7797,4401,ARGUARD ROCK DRILL ISO 100    ,ARG ANTI-FOAM                 ,0.0001
7797,5885,ARGUARD ROCK DRILL ISO 100    ,V-178                         ,0.01484
7798,1104,ARGGUARD SAW GUIDE OIL 22     ,B99 BIODIESEL                 ,0.11754
7798,1149,ARGGUARD SAW GUIDE OIL 22     ,PD-610                        ,0.00241
7798,1366,ARGGUARD SAW GUIDE OIL 22     ,FUNCTIONAL SGP-567            ,0.01389
7798,4305,ARGGUARD SAW GUIDE OIL 22     ,KENDEX 0150                   ,0.72482
7798,4329,ARGGUARD SAW GUIDE OIL 22     ,KENDEX 0060HT                 ,0.13126
7798,5885,ARGGUARD SAW GUIDE OIL 22     ,V-178                         ,0.01008
7799,1131,ARGUARD WAYLUBE ISO 46        ,LZ 7719                       ,0.001
7799,1199,ARGUARD WAYLUBE ISO 46        ,LZ 5346                       ,0.046
7799,4315,ARGUARD WAYLUBE ISO 46        ,KENDEX 0150H                  ,0.8454
7799,4318,ARGUARD WAYLUBE ISO 46        ,ARGOLD LEGACY                 ,0.1
7799,4401,ARGUARD WAYLUBE ISO 46        ,ARG ANTI-FOAM                 ,0.0001
7799,5885,ARGUARD WAYLUBE ISO 46        ,V-178                         ,0.0075
7817,7817,LC 5 MOLY EP 2 GREASE         ,LC 5 MOLY EP 2 GREASE         ,1
7861,7861,ARGUARD SOLUBLE OIL W/BIOCIDE ,ARGUARD SOLUBLE OIL W/BIOCIDE ,1
7864,1927,NOCO QUENCH OIL 1001          ,PURCHASED 100 NEUTRAL         ,1
7919,1131,PCMO 10W30 SF                 ,LZ 7719                       ,0.0025
7919,1161,PCMO 10W30 SF                 ,WP 7075F                      ,0.085
7919,1198,PCMO 10W30 SF                 ,LZ 8900                       ,0.042
7919,4305,PCMO 10W30 SF                 ,KENDEX 0150                   ,0.8705
7920,1131,PCMO 10W40 SF                 ,LZ 7719                       ,0.005
7920,1161,PCMO 10W40 SF                 ,WP 7075F                      ,0.1205
7920,1179,PCMO 10W40 SF                 ,LZ 4998                       ,0.081
7920,1900,PCMO 10W40 SF                 ,PETROCAN GF-3                 ,0.1
7920,4315,PCMO 10W40 SF                 ,KENDEX 0150H                  ,0.6935
