id,Product_Code,Product_Description,ClassCode,Division
,199V,DP SYN BLD HDDEO SAE 15W-40   ,RESALE-BLENDED LUBES          ,BlendedLubes
,4140,KENSOL DMF LV                 ,KENSOL DISTILLATES HT         ,Refinery
,1356,CALPAR 150                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,8014,UTAH YELLOW HVGO              ,CRUDE                         ,Refinery
,7945,JACK OIL WITH STOP LEAK       ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,SODA,CAUSTIC SODA                  ,MISCELLANEOUS                 ,Refinery
,7245,AUTOZONE STP CONV 5W-20       ,RESALE-BLENDED LUBES          ,BlendedLubes
,7246,AUTOZONE STP CONV 5W-30       ,RESALE-BLENDED LUBES          ,BlendedLubes
,7247,AUTOZONE STP CONV 10W-30      ,RESALE-BLENDED LUBES          ,BlendedLubes
,1358,AFTON HITEC 5158              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7752,FORGING LUBRICANT             ,GEAR OIL-SPECIALTY            ,BlendedLubes
,4142,KENSOL BRD-PLUS               ,KENSOL DISTILLATES HT         ,Refinery
,4143,KENSOL DMF 48H                ,KENSOL DISTILLATES HT         ,Refinery
,4144,KENSOL DMF 50H                ,KENSOL DISTILLATES HT         ,Refinery
,4141,KENSOL DMF MV                 ,KENSOL DISTILLATES HT         ,Refinery
,4672,ARGUARD MEDIUM QUENCH 100     ,SPECIALTY PRODUCTS            ,Refinery
,NHAZ,NON-HAZARDOUS WASTE           ,MISCELLANEOUS                 ,Refinery
,HAZW,HAZARDOUS WASTE               ,MISCELLANEOUS                 ,Refinery
,1357,FUNCTIONAL WA-64              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,7946,RISLONE PWR STERING STOP WHINE,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,9003,ARGUARD RP 150HF RUST PROOFOIL,COATINGS/MISCELLANEOUS        ,BlendedLubes
,7753,GP-1 CONV 80W-90 HP GEAR OIL  ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,8180,NO.2 HEATING OIL S-15 B5 DYED ,FUEL OIL                      ,Refinery
,5677,XTENDRA BHT                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1360,YU BASE 6                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1359,LUBRIZOL 936                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1361,HITEC 11183                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,9203,DERESINED CYLINDER STOCK      ,IN PROCESS-REF                ,Refinery
,4409,ENGINE TREATMENT PREMIX       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1108,CITGO MINERAL SPIRITS         ,ADDITIVES-REFINERY            ,Refinery
,1362,HITEC 3435A                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1363,HITEC 3488                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
