id,Product_Code,Product_Description,ClassCode,Division
,1252,LUBRIZOL 3119A                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,126V,CASE HY TRAN ULTRA SSL        ,RESALE-BLENDED LUBES          ,BlendedLubes
,127V,CASE EP-O GREASE              ,RESALE-BLENDED LUBES          ,BlendedLubes
,128V,B-36 LS ADDITIVE              ,RESALE-BLENDED LUBES          ,BlendedLubes
,129V,CNH LTD SLIP ADDITIVE         ,RESALE-BLENDED LUBES          ,BlendedLubes
,130V,CNH NO. 1 ENGINE OIL SAE 10W  ,MOTOR OIL-SINGLE GRADE DIESEL ,BlendedLubes
,1303,UNIVERSAL TRACTOR FLUID       ,TRACTOR TRANSMISSION FLUID    ,BlendedLubes
,131V,CASE NO. 1 ENGINE OIL SAE 10W ,MOTOR OIL-SINGLE GRADE DIESEL ,BlendedLubes
,132V,CNH SSL SAE 80W140            ,RESALE-BLENDED LUBES          ,BlendedLubes
,133V,CASE #1 SSL 0W40              ,RESALE-BLENDED LUBES          ,BlendedLubes
,134V,NEW HOLLAND MG SSL OW40       ,RESALE-BLENDED LUBES          ,BlendedLubes
,135V,CASE AW 68                    ,RESALE-BLENDED LUBES          ,BlendedLubes
,136V,CASE AW 100 HYD FLUID         ,RESALE-BLENDED LUBES          ,BlendedLubes
,137V,CNH HYDROSTEM 68              ,RESALE-BLENDED LUBES          ,BlendedLubes
,1371,LZ 1371                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,138V,NEW HOLLAND GR 75 MD GREASE   ,RESALE-BLENDED LUBES          ,BlendedLubes
,139V,CASE PREMIUM EP-2             ,RESALE-BLENDED LUBES          ,BlendedLubes
,140V,CASE SSL SYNTHETIC GREASE     ,RESALE-BLENDED LUBES          ,BlendedLubes
,141V,GL NH TRANSAXLE FLUID         ,RESALE-BLENDED LUBES          ,BlendedLubes
,142V,CASE A/S HYTRAN ULTRA         ,RESALE-BLENDED LUBES          ,BlendedLubes
,143V,NH LTD SLIP ADDITIVE          ,RESALE-BLENDED LUBES          ,BlendedLubes
,144V,NH HYPOID SSL GEAR LUBE       ,RESALE-BLENDED LUBES          ,BlendedLubes
,145V,CNH MOLY GREASE (251H-M/GR75MD,RESALE-BLENDED LUBES          ,BlendedLubes
,146V,GL NEW HOLLAND TRX FLUID      ,RESALE-BLENDED LUBES          ,BlendedLubes
,147V,CNH TRANSAXLE FLD SAE 80W-140 ,RESALE-BLENDED LUBES          ,BlendedLubes
,1471,SPECTRASYN 1000 CST PAO       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1472,SPECTRASYN PAO 2C             ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1473,SPECTRASYN 100 CST PAO        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,148V,NEW HOLLAND HYDROSYSTEM 68    ,RESALE-BLENDED LUBES          ,BlendedLubes
,149V,CNH SSL 75W90                 ,RESALE-BLENDED LUBES          ,BlendedLubes
,150V,CNH MOLY GREASE GR-75         ,RESALE-BLENDED LUBES          ,BlendedLubes
,151V,CNH LE ENGINE OIL 15W40       ,RESALE-BLENDED LUBES          ,BlendedLubes
,152V,CNH HYDRAULIC EXCAVATOR       ,RESALE-BLENDED LUBES          ,BlendedLubes
,153V,CNH TUTELA AUTO SUPREME 5W20  ,RESALE-BLENDED LUBES          ,BlendedLubes
,154V,CNH UNITEK SYN BLEND EO 10W40 ,RESALE-BLENDED LUBES          ,BlendedLubes
,155V,CULTI LOAD CHARGE             ,MULTI LOAD CHARGE--VISCOSITY  ,Refinery
,156V,CASE UNITEK ENG OIL SAE 10W40 ,RESALE-BLENDED LUBES          ,BlendedLubes
,157V,NH UNITEK ENG OIL SAE 10W40   ,RESALE-BLENDED LUBES          ,BlendedLubes
,158V,CASE UNITEK SYN SAE 0W40      ,RESALE-BLENDED LUBES          ,BlendedLubes
,159V,NH UNITEK SYN SAE 0W40        ,RESALE-BLENDED LUBES          ,BlendedLubes
,161V,ENGINE OIL SAE 10W30 (CI4/SH) ,RESALE-BLENDED LUBES          ,BlendedLubes
,164V,CNH HYPOIDE EP 85W140         ,RESALE-BLENDED LUBES          ,BlendedLubes
,165V,CASE TCH                      ,RESALE-BLENDED LUBES          ,BlendedLubes
,1730,KENSOL 37                     ,KENSOL NAPHTHAS               ,Refinery
,1815,KEMESTER 2000                 ,ADDITIVES-REFINERY            ,Refinery
,1892,ACIDLESS TALLOW               ,ADDITIVES-REFINERY            ,Refinery
,1895,PURITY L65                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1899,PETROCAN 1810                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1900,PETROCAN GF-3                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1901,PETROMIX #9                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1902,HYDROCAL 100                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1903,PETROCAN 3501                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1905,NP BL 100 (PETROCAN 1017)     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1906,HYDROCAL 900                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1907,HYDROCAL 1200                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1908,CALPAR 700                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1914,HF BRIGHT STOCK               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1920,VALERO 700 NEUTRAL            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1927,PURCHASED 100 NEUTRAL         ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1928,ASHLAND 0325N                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1929,CALUMET 475                   ,ADDITIVES-REFINERY            ,Refinery
,1930,CONOCO 600N                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1933,CONOCO 110 NEUTRAL            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1934,VALERO 165N                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1935,HYGOLD P 140N                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1936,HPO 300 NEUTRAL               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1937,MVI 75 NEUTRAL                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1940,4 CST PAO                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1945,AMERICA'S CORE 100N           ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1946,AMERICORE 150                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1948,AMERICORE 600N                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1952,VALPAR 500 N                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1955,HCC 150N                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,1997,PURCHASED 700N                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,2000,METHYL SALICYLATE             ,ADDITIVES-REFINERY            ,Refinery
,2017,LZ 20017                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,2018,LZ 20017FM                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,2019,PPM GREEN                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,2097,RED DYE B-50                  ,ADDITIVES-REFINERY            ,Refinery
,2098,UNISOL RED DYE BNMK-50        ,ADDITIVES-REFINERY            ,Refinery
,2122,PPM BLUE                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,2123,PPM RED BHF                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,2124,MORTON YELLOW DYE             ,ADDITIVES-REFINERY            ,Refinery
,2127,UNIMARK 124U-50               ,ADDITIVES-REFINERY            ,Refinery
,2130,BROWN DYE-2HF                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,2166,CNH F200A MULTI SEASON        ,RESALE-BLENDED LUBES          ,BlendedLubes
,2179,CNH HYPOID 80W90              ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,2600,ACRY 702 SOL                  ,ADDITIVES-REFINERY            ,Refinery
,3020,LZ 30200                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,3374,TRI-BUTYLAMINE (PENNSALT)     ,ADDITIVES-REFINERY            ,Refinery
,3520,LIME HYDRATE                  ,ADDITIVES-REFINERY            ,Refinery
,4000,OLOA 40000                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4074,LZ 40074                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4101,KENSOL 8                      ,KENSOL NAPHTHAS               ,Refinery
,4102,KENSOL 10                     ,KENSOL NAPHTHAS               ,Refinery
,4104,KENSOL 13                     ,KENSOL NAPHTHAS               ,Refinery
,4106,KENSOL 56                     ,KENSOL DISTILLATES HT         ,Refinery
,4107,KENSOL 17                     ,KENSOL NAPHTHAS               ,Refinery
,4108,KENSOL 48R                    ,KENSOL DISTILLATES HT         ,Refinery
,4109,KENSOL 49H                    ,KENSOL DISTILLATES HT         ,Refinery
,4110,KENSOL 55                     ,KENSOL DISTILLATES HT         ,Refinery
,4111,KENSOL 30                     ,KENSOL NAPHTHAS               ,Refinery
,4112,KENSOL K-1                    ,FUEL OIL                      ,Refinery
,4113,KENSOL 48T TRUCK BLEND        ,KENSOL DISTILLATES HT         ,Refinery
,4114,KENSOL 48T                    ,KENSOL DISTILLATES HT         ,Refinery
,4115,KENSOL 48H                    ,KENSOL DISTILLATES HT         ,Refinery
,4116,KENSOL 50T                    ,KENSOL DISTILLATES HT         ,Refinery
,4117,KENSOL 51                     ,KENSOL DISTILLATES HT         ,Refinery
,4118,KENSOL 50H                    ,KENSOL DISTILLATES HT         ,Refinery
,4119,KENSOL 53                     ,KENSOL DISTILLATES HT         ,Refinery
,4125,KENSOL 55H                    ,KENSOL DISTILLATES HT         ,Refinery
,4126,KENSOL 66                     ,RESALE-REFINERY               ,Refinery
,4127,KENSOL 61 UNHT                ,KENSOL DISTILLATES HT         ,Refinery
,4128,KENSOL A                      ,KENSOL DISTILLATES HT         ,Refinery
,4129,KENSOL 61H                    ,KENSOL DISTILLATES HT         ,Refinery
,4130,KENSOL B                      ,KENSOL DISTILLATES HT         ,Refinery
,4131,KENSOL 6150                   ,KENSOL DISTILLATES HT         ,Refinery
,4133,KENSOL 63H                    ,KENSOL DISTILLATES HT         ,Refinery
,4134,KENSOL 35                     ,KENSOL NAPHTHAS               ,Refinery
,4135,KENSOL 33                     ,KENSOL NAPHTHAS               ,Refinery
,4146,KENSOL 80                     ,KENSOL NAPHTHAS               ,Refinery
,4192,APO-2                         ,SPECIALTY PRODUCTS            ,Refinery
,4193,APO-3                         ,SPECIALTY PRODUCTS            ,Refinery
,4194,KENSOL TCS  TRUCK BLEND       ,KENSOL DISTILLATES HT         ,Refinery
,4221,KENSOL 48L                    ,RESALE-REFINERY               ,Refinery
,4223,KENSOL 51L                    ,RESALE-REFINERY               ,Refinery
,4225,KENSOL 50L                    ,RESALE-REFINERY               ,Refinery
,4228,KENSOL 61L                    ,RESALE-REFINERY               ,Refinery
,4237,CONDENSATE LS                 ,RESALE-REFINERY               ,Refinery
,4238,CONDENSATE HS                 ,RESALE-REFINERY               ,Refinery
,4239,CONDENSATE DIL                ,RESALE-REFINERY               ,Refinery
,4240,KENSOL DE                     ,RESALE-REFINERY               ,Refinery
,4241,KENSOL HB                     ,RESALE-REFINERY               ,Refinery
,4242,KENSOL DIL                    ,RESALE-REFINERY               ,Refinery
,4300,KENDEX 200H                   ,BASE OILS                     ,Refinery
,4301,KENDEX 250H                   ,BASE OILS                     ,Refinery
,4302,KENDEX 325H                   ,BASE OILS                     ,Refinery
,4303,KENDEX 0070                   ,BASE OILS                     ,Refinery
,4304,KENDEX 300H                   ,BASE OILS                     ,Refinery
,4305,KENDEX 0150                   ,KENDEX 0150 HT                ,Refinery
,4306,KENDEX 0100                   ,BASE OILS                     ,Refinery
,4307,DEW KENSOL 61/K-0040          ,BASE OILS                     ,Refinery
,4308,INTERFACE                     ,KENDEX 0150 HT                ,Refinery
,4309,KENDEX 0750                   ,BASE OILS                     ,Refinery
,4310,KENDEX 500H                   ,BASE OILS                     ,Refinery
,4311,KENDEX 0060                   ,BASE OILS                     ,Refinery
,4312,KENDEX 0840                   ,SPECIALTY PRODUCTS            ,Refinery
,4313,KENDEX 0842                   ,IN PROCESS-BASE OILS          ,Refinery
,4314,KENDEX 0200V                  ,BASE OILS                     ,Refinery
,4315,KENDEX 0150H                  ,KENDEX 0150 HT                ,Refinery
,4317,KENDEX 0846                   ,IN PROCESS-BASE OILS          ,Refinery
,4318,ARGOLD LEGACY                 ,KENDEX 0847/H                 ,Refinery
,4319,ARGOLD                        ,KENDEX 0847/H                 ,Refinery
,4320,KENDEX 45A                    ,IN PROCESS-REF                ,Refinery
,4323,KENDEX KING                   ,BASE OILS                     ,Refinery
,4324,KENDEX 325H                   ,BASE OILS                     ,Refinery
,4325,KENDEX 165HTLV                ,KENDEX HT165LV                ,Refinery
,4326,DOW CHEMICAL 1000 CST        ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4359,DOW CHEMICAL 60000 CST       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4391,KENDEX LMO 0261               ,BASE OILS                     ,Refinery
,4392,BATTERY OIL                   ,OTHER BLENDED LUBES           ,BlendedLubes
,4393,KENDEX BATTERY OIL GREEN      ,OTHER BLENDED LUBES           ,BlendedLubes
,4401,ARG ANTI-FOAM                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4421,KENDEX OCTG                   ,OCTG                          ,Refinery
,4422,KENDEX TJP                    ,RESALE-REFINERY               ,Refinery
,4430,SOLUTIA CUT-BACK              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,4448,KENWAX 20                     ,WAXES                         ,Refinery
,4449,KENWAX LIGHT NEUTRAL SLACK WAX,WAXES                         ,Refinery
,4450,KENWAX LNSW/MNSW TRUCK BLEND  ,WAXES                         ,Refinery
,4451,KENWAX MED NEUTRAL SLACK WAX  ,WAXES                         ,Refinery
,4452,KENWAX 130-132 UNFILTERED WAX ,WAXES                         ,Refinery
,4453,KENWAX MNSW/HNSW (TRK/RC BLND),WAXES                         ,Refinery
,4454,KENWAX HEAVY NEUTRAL SLACK WAX,WAXES                         ,Refinery
,4455,FIRE LOG WAX  TRUCK BLEND     ,WAXES                         ,Refinery
,4456,KENWAX 18                     ,WAXES                         ,Refinery
,4457,KENWAX 19                     ,WAXES                         ,Refinery
,4458,KENWAX SCALE WAX              ,WAXES                         ,Refinery
,4459,KENWAX 0111 PETROLATUM        ,WAXES                         ,Refinery
,4460,KENWAX FSC (TRUCK BLEND)      ,WAXES                         ,Refinery
,4461,120 MP WAX TRK/RC BLND        ,WAXES                         ,Refinery
,4490,ALFOL 12                      ,ADDITIVES-REFINERY            ,Refinery
,4524,KENDEX 0261                   ,SPECIALTY PRODUCTS            ,Refinery
,4525,KENDEX HN97 TRUCK BLEND       ,SPECIALTY PRODUCTS            ,Refinery
,4538,KENDEX ANT 2000               ,SPECIALTY PRODUCTS            ,Refinery
,4548,KENSOL HFF (TRUCK BLEND)      ,SPECIALTY PRODUCTS            ,Refinery
,4552,HEAVY RESINS                  ,RESINS                        ,Refinery
,4553,KENDEX ZIEGLER                ,SPECIALTY PRODUCTS            ,Refinery
,4554,KENDEX 0834                   ,RESINS                        ,Refinery
,4555,KENDEX 0897                   ,RESINS                        ,Refinery
,4560,KENDEX 0830                   ,RESINS                        ,Refinery
,4570,KENDEX 0850                   ,SPECIALTY PRODUCTS            ,Refinery
,4571,KENDEX 0851                   ,SPECIALTY PRODUCTS            ,Refinery
,4572,KENDEX 6160 TRUCK BLEND       ,SPECIALTY PRODUCTS            ,Refinery
,4576,KENDEX CAT (TRUCK-RC BLEND)   ,SPECIALTY PRODUCTS            ,Refinery
,4577,KENDEX MNE                    ,SPECIALTY PRODUCTS            ,Refinery
,4578,KENDEX GWS                    ,SPECIALTY PRODUCTS            ,Refinery
,4579,KENDEX HNE                    ,SPECIALTY PRODUCTS            ,Refinery
,4580,KENDEX BORCKE                 ,SPECIALTY PRODUCTS            ,Refinery
,4581,KENDEX SEB                    ,SPECIALTY PRODUCTS            ,Refinery
,4582,KENDEX E-85                   ,SPECIALTY PRODUCTS            ,Refinery
,4583,KENDEX E-65                   ,SPECIALTY PRODUCTS            ,Refinery
,4585,KENDEX NF                     ,SPECIALTY PRODUCTS            ,Refinery
,4586,KENDEX 0866                   ,SPECIALTY PRODUCTS            ,Refinery
,4587,KENDEX E-1350                 ,SPECIALTY PRODUCTS            ,Refinery
,4590,KENDEX EFH                    ,SPECIALTY PRODUCTS            ,Refinery
,4591,KENDEX D90                    ,SPECIALTY PRODUCTS            ,Refinery
,4595,KENDEX 6134                   ,SPECIALTY PRODUCTS            ,Refinery
,4601,ISOPROPYL ALCOHOL             ,ADDITIVES-REFINERY            ,Refinery
,4608,KENDEX 0888                   ,SPECIALTY PRODUCTS            ,Refinery
,4612,KENDEX 1264                   ,SPECIALTY PRODUCTS            ,Refinery
,4617,KENDEX ANN (TRUCK BLEND)      ,SPECIALTY PRODUCTS            ,Refinery
,4618,KENDEX 0898                   ,RESINS                        ,Refinery
,4670,ARGUARD FAST QUENCH 70        ,SPECIALTY PRODUCTS            ,Refinery
,4671,NOCO QUENCH OIL 1050          ,SPECIALTY PRODUCTS            ,Refinery
,4771,KENDEX 1759                   ,SPECIALTY PRODUCTS            ,Refinery
,4772,KENDEX 1760                   ,SPECIALTY PRODUCTS            ,Refinery
,4773,KENDEX 2004H                  ,SPECIALTY PRODUCTS            ,Refinery
,4774,KENDEX 3000                   ,SPECIALTY PRODUCTS            ,Refinery
,4775,KENDEX 2004 GREENDYE#430011000,SPECIALTY PRODUCTS            ,Refinery
,4776,KENDEX 1760 BLUE DYE#430234000,SPECIALTY PRODUCTS            ,Refinery
,4777,KENDEX 2009YELLOWOIL#436151000,SPECIALTY PRODUCTS            ,Refinery
,5000,PENNZSUPRESS D                ,PENNZSUPPRESS                 ,Refinery
,5001,ACE CHARGER                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5003,PENNZSUPPRESS D 3/1 TRK BLND  ,PENNZSUPPRESS                 ,Refinery
,5007,PENNZSUPPRESS G GRADE TRK BLND,PENNZSUPPRESS                 ,Refinery
,5013,87 UNLEADED GAS               ,GASOLINE                      ,Refinery
,5014,93 PREMIUM GASOLINE           ,GASOLINE                      ,Refinery
,5015,LIGHT STRAIGHT RUN            ,IN PROCESS-REF                ,Refinery
,5018,HYDROCAL 45                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5020,E10 GASOLINE (87 OCTANE)      ,GASOLINE                      ,Refinery
,5087,EXXON 75 (COASTAL PALE)       ,ADDITIVES-REFINERY            ,Refinery
,5111,BRESLUBE 100N                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5112,BRESLUBE 240N                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5113,BRESLUBE 150N                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5224,KINGMATE SS PS SAE 15W50      ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,5265,PT PENTUM 5W50                ,MOTOR OIL-PART SYNTHETIC PCEO ,BlendedLubes
,5300,PETRO CAN 5300                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5510,LZ 9807D                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5520,LZ 7070D                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5530,LUBRIZOL 7749B-CHEMGUARD 637  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5535,VISOPLEX 1-303                ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,554P,KENDEX 0834                   ,TOLLING PRODUCTS              ,Refinery
,5540,LZ 7742                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5550,LZ 5160                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5560,LZ 9990A                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5561,DI-2 ETHYL HEXYL PHOSPHITE    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5565,HITEC 2571                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5570,LZ 4994C                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5571,LZ 20000                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5572,LZ 8650                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5573,LZ FF 1004                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5575,LZ 20000A                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,560P,TERGITOL NP 8                 ,TOLLING PRODUCTS              ,Refinery
,5623,MEGA POWER SAE 20W50 (SJ)     ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,5674,STURACO 7097K                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5678,LZ 677A                       ,ADDITIVES-REFINERY            ,Refinery
,5679,DBPC FLAKES                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,570P,TRITON NP 57                  ,TOLLING PRODUCTS              ,Refinery
,5703,LZ 5703                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5708,ACETONE                       ,ADDITIVES-REFINERY            ,Refinery
,5748,VISOPLEX 8-458                ,ADDITIVES-REFINERY            ,Refinery
,5749,VISOPLEX 8-458 BLEND          ,ADDITIVES-REFINERY            ,Refinery
,580P,NORLIG A 58                   ,TOLLING PRODUCTS              ,Refinery
,5818,LZ 5818                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5856,LZ 9692A                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5885,V-178                         ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5890,FUNCTIONAL V-176 TACKIFIER    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5894,ORONITE 246A                  ,ADDITIVES-REFINERY            ,Refinery
,5903,ATPET 200                     ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5913,MORGOIL 320 PRE-MIX           ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5914,LZ 5914                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5915,LZ 5915                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5924,LZ 8199                       ,ADDITIVES-REFINERY            ,Refinery
,5930,LZ 3179A                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5931,LZ 8791                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5956,MOLY VAN L                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5957,LZ 5957                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5964,LZ 5162                       ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5965,IRGAPAC T 2030 A              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,5970,LZ 8247                       ,ADDITIVES-REFINERY            ,Refinery
,6002,LZ 6312A                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6003,NEW HOLLAND F200              ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6006,VISCOPLEX 8-702               ,ADDITIVES-REFINERY            ,Refinery
,6017,NH 80W90 GO                   ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,6026,CNH LTS SLIP ADD              ,RESALE-BLENDED LUBES          ,BlendedLubes
,6074,LZ 5150A                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6087,VANLUBE AZ                    ,ADDITIVES-REFINERY            ,Refinery
,6127,SAE SJ 5W30                   ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,6128,SAE SJ 10W30                  ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,6157,DURASYN 166                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6177,SYNTHETIC PAO 2               ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6191,1220 HD10                     ,MOTOR OIL-SINGLE GRADE DIESEL ,BlendedLubes
,6193,1222 HD 30                    ,MOTOR OIL-SINGLE GRADE DIESEL ,BlendedLubes
,6195,SAE HD 15W40                  ,MOTOR OIL-MULTI GRADE DIESEL  ,BlendedLubes
,6230,80W90 GEAR LUBE               ,GEAR OIL-HYPOID GL-5          ,BlendedLubes
,6301,BMW LONG LIFE 5W30            ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6302,CASTROL EDGE W/SYNTEC 10W30   ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6303,CASTROL EDGE/SYNTEC 5W50      ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6304,CASTROL EDGE W/SYNTEC 5W30    ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6305,BMW 15W40                     ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6306,CASTROL EDGE W/SYNTEC 10W40   ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6307,TECTION 15W40                 ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6308,CASTROL EDGE W/SYNTEC 5W20    ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6309,CASTROL AF 47 RACING OIL      ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6310,CASTROL SLX 5W30              ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6311,CASTROL EDGE GOLD 5W30        ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6312,CASTROL EDGE GOLD 10W30       ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6313,CASTROL EDGE GOLD 0W20        ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6314,CASTROL EDGE GOLD 5W20        ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6315,CASTROL EDGE W/SYNTEC 0W20    ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6316,CASTROL SLX PRO 5W20          ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6317,CASTROL EDGE PRO OE 5W40      ,MOTOR OIL-SYNTHETIC PCEO      ,BlendedLubes
,6331,SACI 5552A                    ,ADDITIVES-REFINERY            ,Refinery
,6345,VANLUBE DF283                 ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6352,UNIVERSAL TRACTOR TRANSMISSION,TRACTOR TRANSMISSION FLUID    ,BlendedLubes
,6429,LZ 9990A                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6547,PARAFLOW 390                  ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6613,LZ 5186B                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6627,GULF PRIDE MO 5W30            ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,6628,GULFPRIDE MO SAE 10W30        ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,6629,GULF PRIDE SAE 10W40          ,MOTOR OIL-MULTI GRADE PCEO    ,BlendedLubes
,6633,ANGLAMOL 33                   ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6663,LZ 5178F                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6685,LZ                            ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6692,HITECH 385                    ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6693,ANG 6043                      ,ADDITIVES-BLENDED LUBES       ,BlendedLubes
,6694,GULF SUPER DUTY 30            ,MOTOR OIL-SINGLE GRADE DIESEL ,BlendedLubes
